mol,natoms,nwater,ngas,coord
Chloroform,125,1904,1000,10500
Chloroform,118,1954,1000,10550
Chloroform,114,1985,1000,10600
Chloroform,113,1994,1000,10650
Chloroform,127,1978,1000,10700
Chloroform,103,2053,1000,10750
Chloroform,114,2086,1000,10800
