mol,natoms,nwater,ngas,coord
Oxygen,3,2028,10,10550
Oxygen,1,2003,10,10600
Oxygen,1,2067,10,10650
Oxygen,1,2078,10,10700
Oxygen,1,2091,10,10750
Oxygen,4,2136,10,10800
Oxygen,3,2163,10,10850
Oxygen,1,2168,10,10900
Oxygen,4,2185,10,10950
Oxygen,0,2194,10,11000
