mol,natoms,nwater,ngas,coord
SX1,15,2001,100,10500
SX1,20,1992,100,10550
SX1,18,2027,100,10600
SX1,7,2052,100,10650
SX1,11,2076,100,10700
SX1,9,2104,100,10750
SX1,18,2143,100,10800
SX1,13,2148,100,10850
SX1,12,2188,100,10900
SX1,12,2223,100,10950
SX1,10,2210,100,11000
