mol,natoms,nwater,ngas,coord
Oxygen,9,1966,100,10500
Oxygen,9,1984,100,10550
Oxygen,8,2013,100,10600
Oxygen,5,2052,100,10650
Oxygen,7,2075,100,10700
Oxygen,12,2097,100,10750
Oxygen,7,2116,100,10800
Oxygen,7,2141,100,10850
Oxygen,9,2160,100,10900
Oxygen,8,2206,100,10950
Oxygen,13,2217,100,11000
