mol,natoms,nwater,ngas,coord
SX1,3,1974,10,10500
SX1,3,2032,10,10550
SX1,3,2025,10,10600
SX1,1,2052,10,10650
SX1,4,2101,10,10700
SX1,4,2129,10,10750
SX1,3,2141,10,10800
SX1,3,2174,10,10850
SX1,1,2184,10,10900
SX1,2,2178,10,10950
SX1,3,2201,10,11000
