time,coord,meanF,stdF
6000.010000000001,8200.0,-1.7695105230443002,0.13359834702671
16000.009999999998,8250.0,-1.6305572634909196,0.12985816362308877
26000.01,8300.0,-1.5156250033536602,0.1230078022331352
36000.01000000001,8350.0,-1.32809177280214,0.1358984675023635
46000.01000000001,8400.0,-1.15532573097376,0.1313046536976734
56000.01,8450.0,-1.0252048999759396,0.1201042133307782
66000.01000000001,8500.0,-0.8232742753118201,0.12809385570229992
76000.01,8550.0,-0.6973295129286399,0.12664060543390865
86000.00999999998,8600.0,-0.5454439602323998,0.13841057192946693
96000.01,8650.0,-0.37957252759972,0.1268456838554004
106000.01000000001,8700.0,-0.25030585794490007,0.1378063383624946
116000.01000000001,8750.0,-0.09425989295553999,0.1359153763161548
126000.01000000001,8800.0,0.08479791864284002,0.13483542445936092
136000.01000000004,8850.0,0.14584903623882,0.14216175542279616
146000.01,8900.0,0.25717042324376,0.1464631394816966
156000.01000000004,8950.0,0.31685024548512,0.14771711574204435
166000.01000000004,9000.0,0.40584842434381996,0.14951089991201313
176000.01000000004,9050.0,0.4232094526995799,0.1468597822493461
186000.01,9100.0,0.39557053952875987,0.16956777264628822
196000.01000000004,9150.0,0.3095469711580399,0.15562409006253258
206000.01000000007,9200.0,0.29956897208689987,0.14391565223514938
216000.01000000004,9250.0,0.34112972325021995,0.1457474626002797
226000.01000000004,9300.0,0.30922569916994,0.1667466525333563
236000.01000000004,9350.0,0.22556645855969992,0.16208376618438675
246000.01000000004,9400.0,0.27752311534378,0.16635677211970698
256000.01,9450.0,0.31327684418063995,0.155358927984652
266000.01,9500.0,0.36298039580085995,0.14797261043360072
276000.01,9550.0,0.39347722481624,0.1618501926520239
286000.00999999995,9600.0,0.36047410027155985,0.17085810834987908
296000.0099999999,9650.0,0.37456592606046,0.15755543802565194
306000.00999999983,9700.0,0.41205280211666007,0.17263113820659834
316000.00999999983,9750.0,0.29938942538294006,0.15248468886046507
326000.00999999983,9800.0,0.34173951141799985,0.14765554581584683
336000.00999999983,9850.0,0.3409325513375201,0.14429693020337225
346000.00999999983,9900.0,0.3575290130682799,0.15733047898735583
356000.00999999983,9950.0,0.28509946269150005,0.17043623225635357
366000.00999999983,10000.0,0.26350906653552003,0.14834453024298266
376000.00999999983,10050.0,0.2728040163125399,0.14385184406851034
386000.00999999983,10100.0,0.33843192167617997,0.16263796518219195
396000.00999999983,10150.0,0.3338068349252001,0.16489846805560296
406000.00999999983,10200.0,0.38363623092434007,0.14119776155077723
416000.0099999999,10250.0,0.35501889552568,0.16540192769024278
426000.0099999999,10300.0,-0.25291555166343993,0.12760745997353257
436000.00999999995,10350.0,-0.09404097600812,0.12933640467758523
446000.01,10400.0,0.06177282441979998,0.13233446420206357
456000.01,10450.0,0.18283851876782004,0.1316960080697581
466000.01,10500.0,0.29431999654656005,0.14281373076487722
476000.01000000007,10550.0,0.4813314663396201,0.1289351485299061
486000.01,10600.0,0.67194435874902,0.1287158695281189
496000.01,10650.0,0.8136797776395199,0.12975624280649214
506000.01,10700.0,0.9604734885389203,0.1349534350232013
516000.00999999995,10750.0,1.1244680936731801,0.12808019422280065
526000.01,10800.0,1.2278686063918804,0.13052722725629126
536000.0099999999,10850.0,1.4822631892319003,0.136252231777722
546000.0099999999,10900.0,1.5962583852630199,0.14271477981055591
556000.0099999999,10950.0,1.8100574364144204,0.14205409210898035
566000.0099999999,11000.0,2.04576066189708,0.15190093298196397
