mol,natoms,nwater,ngas,coord
Ethylene,102,1931,1000,10500
Ethylene,105,1962,1000,10550
Ethylene,109,1988,1000,10600
Ethylene,100,2017,1000,10650
Ethylene,110,2027,1000,10700
Ethylene,101,2090,1000,10750
Ethylene,102,2076,1000,10800
