mol,natoms,nwater,ngas,coord
Nitrogen,14,1964,1000,10500
Nitrogen,8,2045,1000,10550
Nitrogen,6,2025,1000,10600
Nitrogen,11,2034,1000,10650
Nitrogen,6,2046,1000,10700
Nitrogen,4,2090,1000,10750
Nitrogen,8,2136,1000,10800
Nitrogen,11,2137,1000,10850
Nitrogen,11,2157,1000,10900
Nitrogen,12,2201,1000,10950
Nitrogen,8,2223,1000,11000
