mol,natoms,nwater,ngas,coord
Diethyl_ether,148,1858,2000,10500
Diethyl_ether,154,1909,2000,10550
Diethyl_ether,141,1899,2000,10600
Diethyl_ether,153,1912,2000,10650
Diethyl_ether,150,1958,2000,10700
Diethyl_ether,146,1970,2000,10750
Diethyl_ether,136,2020,2000,10800
Diethyl_ether,137,2029,2000,10850
Diethyl_ether,117,2071,2000,10900
Diethyl_ether,139,2056,2000,10950
Diethyl_ether,133,2104,2000,11000
