mol,natoms,nwater,ngas,coord
Xenon,6,1939,100,10500
Xenon,6,2000,100,10550
Xenon,9,2016,100,10600
Xenon,8,2053,100,10650
Xenon,8,2041,100,10700
Xenon,3,2088,100,10750
Xenon,7,2116,100,10800
