mol,av_ngas,std_gas,ngas,coord,av_nwater,std_water
Fullerene,0.0,0.0,10,8200,49.1,6.073713855624086
Fullerene,0.0,0.0,10,8250,56.7,5.459853477887479
Fullerene,0.0,0.0,10,8300,65.5,8.273451516749223
Fullerene,0.0,0.0,10,8350,78.9,6.0074953183502355
Fullerene,0.0,0.0,10,8400,86.1,8.104936767180853
Fullerene,0.0,0.0,10,8450,86.0,10.890362712049585
Fullerene,0.0,0.0,10,8500,96.3,11.153923076657827
Fullerene,0.0,0.0,10,8550,116.0,9.02219485491197
Fullerene,0.0,0.0,10,8600,132.1,9.137286249209883
Fullerene,0.0,0.0,10,8650,152.6,14.015705476357585
Fullerene,0.0,0.0,10,8700,180.8,13.120975573485381
Fullerene,0.0,0.0,10,8750,212.5,16.72871782295344
Fullerene,0.0,0.0,10,8800,255.0,18.46076921474292
Fullerene,0.0,0.0,10,8850,280.3,12.570202862324855
Fullerene,0.0,0.0,10,8900,327.9,9.648315915225828
Fullerene,0.0,0.0,10,8950,353.1,13.456968455042167
Fullerene,15.0,0.0,10,9000,408.2,20.262280227062305
Fullerene,0.0,0.0,10,9050,479.8,23.676148335402868
Fullerene,0.0,0.0,10,9100,529.4,23.992498827758645
Fullerene,15.0,0.0,10,9150,567.3,20.895214763193987
Fullerene,0.0,0.0,10,9200,660.1,20.49609718946512
Fullerene,0.0,0.0,10,9250,713.1,12.668464784653269
Fullerene,0.0,0.0,10,9300,780.3,20.288173895153797
Fullerene,0.0,0.0,10,9350,799.3,17.85525132839076
Fullerene,0.0,0.0,10,9400,861.6,23.18275220934736
Fullerene,0.0,0.0,10,9450,899.2,16.563815985454557
Fullerene,0.0,0.0,10,9500,946.9,18.838524358346117
Fullerene,0.0,0.0,10,9550,1000.4,18.276761201044348
Fullerene,15.0,0.0,10,9600,1051.6,20.010996976662607
Fullerene,0.0,0.0,10,9650,1081.4,19.860513588525347
Fullerene,0.0,0.0,10,9700,1178.2,22.12600280213306
Fullerene,0.0,0.0,10,9750,1210.5,20.905740838343903
Fullerene,0.0,0.0,10,9800,1277.3,28.639308650873538
Fullerene,0.0,0.0,10,9850,1343.3,15.937691175323984
Fullerene,15.0,0.0,10,9900,1345.2,23.705695518166095
Fullerene,0.0,0.0,10,9950,1438.0,26.453733195902615
Fullerene,0.0,0.0,10,10000,1481.9,17.71129583062741
Fullerene,0.0,0.0,10,10050,1520.0,18.65475810617763
Fullerene,0.0,0.0,10,10100,1570.5,19.759807691371897
Fullerene,0.0,0.0,10,10150,1638.3,12.767536959022284
Fullerene,0.0,0.0,10,10200,1660.8,17.434448657758008
Fullerene,0.0,0.0,10,10250,1726.4,20.900717691026784
Fullerene,0.0,0.0,10,10300,1855.4,16.33523798418621
Fullerene,0.0,0.0,10,10350,1892.6,15.628179676469042
Fullerene,0.0,0.0,10,10400,1934.3,8.820997676000147
Fullerene,0.0,0.0,10,10450,1964.4,18.932511719262184
Fullerene,0.0,0.0,10,10500,1969.7,19.126160095534075
Fullerene,0.0,0.0,10,10550,1998.4,19.627531683836356
Fullerene,0.0,0.0,10,10600,2037.8,9.162968951164245
Fullerene,0.0,0.0,10,10650,2049.4,13.492219980418346
Fullerene,15.0,0.0,10,10700,2062.2,6.910861017268398
Fullerene,15.0,0.0,10,10750,2093.4,12.009995836801943
Fullerene,15.0,0.0,10,10800,2123.5,15.331340450201997
