mol,natoms,nwater,ngas,coord
Xenon,32,1952,500,10500
Xenon,35,1967,500,10550
Xenon,33,1997,500,10600
Xenon,32,1991,500,10650
Xenon,34,2060,500,10700
Xenon,32,2055,500,10750
Xenon,31,2122,500,10800
Xenon,29,2119,500,10850
Xenon,31,2139,500,10900
Xenon,32,2164,500,10950
Xenon,37,2177,500,11000
