time,coord,meanF,stdF
6000.010000000001,8376.951052304434,-1.7695105230443002,0.13359834702671
16000.009999999998,8413.05572634909,-1.6305572634909196,0.12985816362308877
26000.01,8451.562500335363,-1.5156250033536602,0.1230078022331352
36000.01000000001,8482.809177280216,-1.32809177280214,0.1358984675023635
46000.01000000001,8515.532573097378,-1.15532573097376,0.1313046536976734
56000.01,8552.520489997592,-1.0252048999759396,0.1201042133307782
66000.01000000001,8582.327427531185,-0.8232742753118201,0.12809385570229992
76000.01,8619.732951292863,-0.6973295129286399,0.12664060543390865
86000.00999999998,8654.544396023242,-0.5454439602323998,0.13841057192946693
96000.01,8687.957252759972,-0.37957252759972,0.1268456838554004
106000.01000000001,8725.030585794493,-0.25030585794490007,0.1378063383624946
116000.01000000001,8759.425989295552,-0.09425989295553999,0.1359153763161548
126000.01000000001,8791.520208135715,0.08479791864284002,0.13483542445936092
136000.01000000004,8835.415096376119,0.14584903623882,0.14216175542279616
146000.01,8874.282957675621,0.25717042324376,0.1464631394816966
156000.01000000004,8918.314975451483,0.31685024548512,0.14771711574204435
166000.01000000004,8959.415157565614,0.40584842434381996,0.14951089991201313
176000.01000000004,9007.67905473004,0.4232094526995799,0.1468597822493461
186000.01,9060.442946047122,0.39557053952875987,0.16956777264628822
196000.01000000004,9119.045302884195,0.3095469711580399,0.15562409006253258
206000.01000000007,9170.04310279131,0.29956897208689987,0.14391565223514938
216000.01000000004,9215.887027674977,0.34112972325021995,0.1457474626002797
226000.01000000004,9269.077430083007,0.30922569916994,0.1667466525333563
236000.01000000004,9327.443354144032,0.22556645855969992,0.16208376618438675
246000.01000000004,9372.247688465619,0.27752311534378,0.16635677211970698
256000.01,9418.672315581935,0.31327684418063995,0.155358927984652
266000.01,9463.701960419912,0.36298039580085995,0.14797261043360072
276000.01,9510.652277518375,0.39347722481624,0.1618501926520239
286000.00999999995,9563.952589972845,0.36047410027155985,0.17085810834987908
296000.0099999999,9612.543407393952,0.37456592606046,0.15755543802565194
306000.00999999983,9658.794719788331,0.41205280211666007,0.17263113820659834
316000.00999999983,9720.06105746171,0.29938942538294006,0.15248468886046507
326000.00999999983,9765.826048858202,0.34173951141799985,0.14765554581584683
336000.00999999983,9815.906744866252,0.3409325513375201,0.14429693020337225
346000.00999999983,9864.247098693175,0.3575290130682799,0.15733047898735583
356000.00999999983,9921.490053730848,0.28509946269150005,0.17043623225635357
366000.00999999983,9973.649093346448,0.26350906653552003,0.14834453024298266
376000.00999999983,10022.719598368749,0.2728040163125399,0.14385184406851034
386000.00999999983,10066.15680783238,0.33843192167617997,0.16263796518219195
396000.00999999983,10116.61931650748,0.3338068349252001,0.16489846805560296
406000.00999999983,10161.636376907567,0.38363623092434007,0.14119776155077723
416000.0099999999,10214.498110447434,0.35501889552568,0.16540192769024278
426000.0099999999,10325.291555166346,-0.25291555166343993,0.12760745997353257
436000.00999999995,10359.404097600813,-0.09404097600812,0.12933640467758523
446000.01,10393.822717558021,0.06177282441979998,0.13233446420206357
456000.01,10431.716148123218,0.18283851876782004,0.1316960080697581
466000.01,10470.568000345345,0.29431999654656005,0.14281373076487722
476000.01000000007,10501.866853366035,0.4813314663396201,0.1289351485299061
486000.01,10532.805564125101,0.67194435874902,0.1287158695281189
496000.01,10568.63202223605,0.8136797776395199,0.12975624280649214
506000.01,10603.952651146106,0.9604734885389203,0.1349534350232013
516000.00999999995,10637.553190632681,1.1244680936731801,0.12808019422280065
526000.01,10677.213139360805,1.2278686063918804,0.13052722725629126
