mol,natoms,nwater,ngas,coord
SN2,47,1955,1000,10500
SN2,53,2010,1000,10550
SN2,57,1993,1000,10600
SN2,54,2021,1000,10650
SN2,59,2039,1000,10700
SN2,50,2079,1000,10750
SN2,47,2071,1000,10800
SN2,68,2112,1000,10850
SN2,44,2161,1000,10900
SN2,54,2178,1000,10950
SN2,54,2183,1000,11000
